   0.408305396E+05   0.173858411E+05  -0.146899554E+02  -0.152653981E+02  -0.150684363E+02  -0.147599554E+02  -0.145007149E+02  -0.142322340E+02  -0.160661577E+02  -0.150184363E+02  -0.149191958E+02  -0.148999554E+02  -0.148607149E+02
   0.425237272E+05   0.169644495E+05  -0.146954466E+02  -0.152494227E+02  -0.150667720E+02  -0.147654466E+02  -0.145097840E+02  -0.142484586E+02  -0.160537600E+02  -0.150167720E+02  -0.149211093E+02  -0.149054466E+02  -0.148697840E+02
   0.442284821E+05   0.165791063E+05  -0.146975759E+02  -0.152319216E+02  -0.150623578E+02  -0.147675759E+02  -0.145151850E+02  -0.142604031E+02  -0.160395307E+02  -0.150123578E+02  -0.149199669E+02  -0.149075759E+02  -0.148751850E+02
   0.459346903E+05   0.162225377E+05  -0.146983752E+02  -0.152135980E+02  -0.150563278E+02  -0.147683752E+02  -0.145190577E+02  -0.142697402E+02  -0.160235980E+02  -0.150056454E+02  -0.149176928E+02  -0.149090577E+02  -0.148797402E+02
   0.476298819E+05   0.158931516E+05  -0.147000821E+02  -0.151943134E+02  -0.150490384E+02  -0.147700821E+02  -0.145237634E+02  -0.142774446E+02  -0.160043134E+02  -0.149953571E+02  -0.149164009E+02  -0.149137634E+02  -0.148874446E+02
   0.493002208E+05   0.155893936E+05  -0.147004166E+02  -0.151752897E+02  -0.150410765E+02  -0.147704166E+02  -0.145268633E+02  -0.142833100E+02  -0.159852897E+02  -0.149846298E+02  -0.149139699E+02  -0.149168633E+02  -0.148933100E+02
   0.510091553E+05   0.152976459E+05  -0.146996861E+02  -0.151559664E+02  -0.150323777E+02  -0.147696861E+02  -0.145287890E+02  -0.142878918E+02  -0.159659664E+02  -0.149732749E+02  -0.149105833E+02  -0.149187890E+02  -0.148978918E+02
   0.527054586E+05   0.150266607E+05  -0.146996607E+02  -0.151361942E+02  -0.150229275E+02  -0.147679774E+02  -0.145313441E+02  -0.142913441E+02  -0.159461942E+02  -0.149612441E+02  -0.149062941E+02  -0.149179774E+02  -0.149013441E+02
   0.544290847E+05   0.147698099E+05  -0.146994358E+02  -0.151159106E+02  -0.150126732E+02  -0.147652451E+02  -0.145336264E+02  -0.142936264E+02  -0.159259106E+02  -0.149484825E+02  -0.149010545E+02  -0.149152451E+02  -0.149036264E+02
   0.561328362E+05   0.145335362E+05  -0.146980768E+02  -0.150960999E+02  -0.150020884E+02  -0.147615797E+02  -0.145345739E+02  -0.142945739E+02  -0.159060999E+02  -0.149355913E+02  -0.148950826E+02  -0.149115797E+02  -0.149045739E+02
   0.578075790E+05   0.143170592E+05  -0.146958077E+02  -0.150769252E+02  -0.149913664E+02  -0.147571974E+02  -0.145344180E+02  -0.142944180E+02  -0.158869252E+02  -0.149227561E+02  -0.148885871E+02  -0.149071974E+02  -0.149044180E+02
   0.595521669E+05   0.141069729E+05  -0.146926433E+02  -0.150562627E+02  -0.149798075E+02  -0.147526433E+02  -0.145333523E+02  -0.142947702E+02  -0.158669716E+02  -0.149098075E+02  -0.148812254E+02  -0.149026433E+02  -0.149040612E+02
   0.612038370E+05   0.139210484E+05  -0.146890593E+02  -0.150351625E+02  -0.149684385E+02  -0.147490593E+02  -0.145317145E+02  -0.142970249E+02  -0.158478177E+02  -0.148984385E+02  -0.148737489E+02  -0.148990593E+02  -0.149043697E+02
   0.629212047E+05   0.137392841E+05  -0.146847567E+02  -0.150137356E+02  -0.149565251E+02  -0.147447567E+02  -0.145293146E+02  -0.142984304E+02  -0.158282935E+02  -0.148865251E+02  -0.148656409E+02  -0.148947567E+02  -0.149038725E+02
   0.646488147E+05   0.135668568E+05  -0.146798338E+02  -0.149925682E+02  -0.149443824E+02  -0.147398338E+02  -0.145261967E+02  -0.142989224E+02  -0.158089310E+02  -0.148743824E+02  -0.148571081E+02  -0.148898338E+02  -0.149025595E+02
   0.663218917E+05   0.134084909E+05  -0.146745540E+02  -0.149723685E+02  -0.149324715E+02  -0.147345540E+02  -0.145225746E+02  -0.142986158E+02  -0.157903891E+02  -0.148624715E+02  -0.148485127E+02  -0.148845540E+02  -0.149005952E+02
   0.680599419E+05   0.132513111E+05  -0.146686472E+02  -0.149516536E+02  -0.149199834E+02  -0.147286472E+02  -0.145183131E+02  -0.142976451E+02  -0.157713195E+02  -0.148499834E+02  -0.148393153E+02  -0.148786472E+02  -0.148979791E+02
   0.697312324E+05   0.131061135E+05  -0.146626159E+02  -0.149311716E+02  -0.149075296E+02  -0.147213444E+02  -0.145151591E+02  -0.142964307E+02  -0.157524432E+02  -0.148362580E+02  -0.148300728E+02  -0.148738875E+02  -0.148951591E+02
   0.714638973E+05   0.129612950E+05  -0.146560379E+02  -0.149099638E+02  -0.148944494E+02  -0.147131408E+02  -0.145118322E+02  -0.142947293E+02  -0.157328609E+02  -0.148215523E+02  -0.148202437E+02  -0.148689350E+02  -0.148918322E+02
   0.731164414E+05   0.128282724E+05  -0.146494693E+02  -0.148899570E+02  -0.148819082E+02  -0.147050790E+02  -0.145082498E+02  -0.142926400E+02  -0.157143472E+02  -0.148075180E+02  -0.148106887E+02  -0.148638595E+02  -0.148882498E+02
   0.748262353E+05   0.126953969E+05  -0.146424752E+02  -0.148695396E+02  -0.148689483E+02  -0.146965935E+02  -0.145042386E+02  -0.142901204E+02  -0.156954214E+02  -0.147930665E+02  -0.148007117E+02  -0.148583569E+02  -0.148842386E+02
   0.765193030E+05   0.125682798E+05  -0.146354045E+02  -0.148496274E+02  -0.148561702E+02  -0.146880959E+02  -0.145000216E+02  -0.142873302E+02  -0.156769360E+02  -0.147788617E+02  -0.147907874E+02  -0.148527131E+02  -0.148800216E+02
   0.782724715E+05   0.124409350E+05  -0.146278346E+02  -0.148291929E+02  -0.148428827E+02  -0.146790966E+02  -0.144953105E+02  -0.142840485E+02  -0.156579309E+02  -0.147641448E+02  -0.147803587E+02  -0.148465725E+02  -0.148753105E+02
   0.799192993E+05   0.123245562E+05  -0.146205023E+02  -0.148100276E+02  -0.148302649E+02  -0.146704548E+02  -0.144905497E+02  -0.142805972E+02  -0.156400276E+02  -0.147502175E+02  -0.147704073E+02  -0.148404548E+02  -0.148705497E+02
   0.816150749E+05   0.122081623E+05  -0.146140235E+02  -0.147895407E+02  -0.148167821E+02  -0.146625753E+02  -0.144854718E+02  -0.142769201E+02  -0.156195407E+02  -0.147353338E+02  -0.147611270E+02  -0.148325753E+02  -0.148654718E+02
   0.833596731E+05   0.120918029E+05  -0.146070441E+02  -0.147685573E+02  -0.148028007E+02  -0.146541954E+02  -0.144798928E+02  -0.142727415E+02  -0.155985573E+02  -0.147199520E+02  -0.147513467E+02  -0.148241954E+02  -0.148598928E+02
   0.850647561E+05   0.119807544E+05  -0.146002266E+02  -0.147483749E+02  -0.147893007E+02  -0.146460414E+02  -0.144744118E+02  -0.142685969E+02  -0.155783749E+02  -0.147051156E+02  -0.147418562E+02  -0.148160414E+02  -0.148544118E+02
   0.867248029E+05   0.118752808E+05  -0.145934409E+02  -0.147288953E+02  -0.147761681E+02  -0.146379863E+02  -0.144688954E+02  -0.142643500E+02  -0.155588953E+02  -0.146907135E+02  -0.147325318E+02  -0.148079863E+02  -0.148488954E+02
